öğretmen adı;branş;eğitim seviyesi;ders Adı;sınıf ve şube;haftalık saat
"Öğretmen 1";"SINIF ÖĞRETMENLİĞİ";"İLKOKUL";"TÜRKÇE";"1A";"10"
"Öğretmen 1";"SINIF ÖĞRETMENLİĞİ";"İLKOKUL";"MATEMATİK";"1A";"5"
"Öğretmen 2";"SINIF ÖĞRETMENLİĞİ";"İLKOKUL";"TÜRKÇE";"1B";"10"
"Öğretmen 3";"İNGİLİZCE";"İLKOKUL|ORTAOKUL";"İNGİLİZCE";"4A";"6"
"Öğretmen 3";"İNGİLİZCE";"İLKOKUL|ORTAOKUL";"İNGİLİZCE";"5A";"6"
"Öğretmen 4";"MATEMATİK|GEOMETRİ";"ORTAOKUL";"MATEMATİK";"5A";"5"
"Öğretmen 4";"MATEMATİK|GEOMETRİ";"ORTAOKUL";"SEÇMELİ GEOMETRİ";"8A";"2"
"Öğretmen 5";"ANAOKULU ÖĞRETMENLİĞİ";"ANAOKULU";"SINIF ÖĞRETMENİ";"Papatyalar";"15"
"Öğretmen 6";"BEDEN EĞİTİMİ";"İLKOKUL|ORTAOKUL";"BEDEN EĞİTİMİ";"4A";"2"
"Öğretmen 6";"BEDEN EĞİTİMİ";"İLKOKUL|ORTAOKUL";"BEDEN EĞİTİMİ";"8A";"2"
"Öğretmen 7";"FEN BİLİMLERİ";"ORTAOKUL";"FEN BİLİMLERİ";"5A";"4"
"Öğretmen 8";"SOSYAL BİLGİLER";"ORTAOKUL";"SOSYAL BİLGİLER";"5A";"3"
"Öğretmen 9";"GÖRSEL SANATLAR";"ANAOKULU";"GÖRSEL";"Papatyalar";"2"
"Öğretmen 9";"GÖRSEL SANATLAR";"İLKOKUL";"GÖRSEL";"2B";"2"
"Öğretmen 10";"İSPANYOLCA";"ORTAOKUL";"İSPANYOLCA";"7A";"2"
"Öğretmen 11";"ALMANCA";"ORTAOKUL";"ALMANCA";"7A";"2"
"Öğretmen 12";"BİLİŞİM TEKNOLOJİLERİ";"ORTAOKUL";"BİLİŞİM TEKNOLOJİLERİ";"7A";"2"
"Öğretmen 13";"REHBERLİK";"ORTAOKUL";"REHBERLİK";"8A";"1"
"Öğretmen 14";"DİN KÜLTÜRÜ";"ORTAOKUL";"DİN KÜLTÜRÜ";"8A";"2"